StationName,StationNameStd
Toe Drain @ Rd. 22 filtered,Toe Drain at County Road 22
Toe Drain at I80,Toe Drain at Interstate 80
Toe Drain at I80 Boron,Toe Drain at Interstate 80
Toe Drain at I80 Dissolved,Toe Drain at Interstate 80
Toe Drain at I80 Total,Toe Drain at Interstate 80
Toe Drain at Rd 22,Toe Drain at County Road 22
Toe Drain at Rd. 22,Toe Drain at County Road 22
Toe Drain at Rd. 22 Boron,Toe Drain at County Road 22
Toe Drain at Rd. 22 Dissolved,Toe Drain at County Road 22
Toe Drain at Rd. 22 Total,Toe Drain at County Road 22
Toe Drain at STTD,Toe Drain at 1/2 Lisbon
Toe Drain at STTD Boron,Toe Drain at 1/2 Lisbon
Toe Drain at STTD Dissolved,Toe Drain at 1/2 Lisbon
Toe Drain at STTD Total,Toe Drain at 1/2 Lisbon
Toe Drain YB LISBON,Toe Drain at Lisbon Weir
YB @ Lisbon,Toe Drain at Lisbon Weir
YB @ Lisbon filtered,Toe Drain at Lisbon Weir
YB @ RSTR,Toe Drain at 1/2 Lisbon
YB @ RSTR filtered,Toe Drain at 1/2 Lisbon
YB Flooded Pasture 1 Dissolved,YB Flooded Pasture 1
YB Flooded Pasture 1 Total,YB Flooded Pasture 1
YB Flooded Pasture 2 Dissolved,YB Flooded Pasture 2
YB Flooded Pasture 2 Total,YB Flooded Pasture 2
YOLOBYLISBON,Toe Drain at Lisbon Weir
YOLOBYLISBON Boron,Toe Drain at Lisbon Weir
YOLOBYLISBON Dissolved,Toe Drain at Lisbon Weir
YOLOBYLISBON Total,Toe Drain at Lisbon Weir
